,Date,Phone Number,Message,Order
0,2206021119.0,False,do i call the saxophone place and say my dad will drop off,1
1,2206021119.0,True,Hello?,2
2,2206021119.0,True,Sorry I missed your call. Need something?,3
3,2206021119.0,False,and say if that doesn’t work i’ll do next week,4
4,2206021120.0,True,"Yes, please ask if can move to 11:30",5
5,2206021211.0,True,Why what happened?,6
6,2206021211.0,True,Why not Monday or Wed then? I can go with you,7
7,2206021211.0,True,Hi son. Makena would Roll Them Up Taquitos tonight. What time are you going to be home? We can get for you and then have it when you get home,8
8,2206021211.0,True,Are you coming home soon? We have dinner and you need to go to bed soon,9
9,2206021211.0,True,I’m going to mt sac for my meeting. I’ll be back by 1. I can make lunch /dinner when I get home,10
10,2206021211.0,True,1:15,11
11,2206021211.0,True,Was it the same person?,12
12,2206021211.0,True,Can you tried off the oven? And turn on the stove?,13
13,2206021211.0,True,Please be careful,14
14,2206021211.0,True,"Yes, please",15
15,2206021211.0,True,Low fire,16
16,2206021211.0,True,You can leave in the oven but turn off,17
17,2206021211.0,False,i will take makena to kaiser soon,18
18,2206021211.0,True,I’m almost done. Can you stir the pot?,19
19,2206021211.0,True,Please don’t forget to move your car and you can park Left hand side,20
20,2206021211.0,True,Please call me asap. I need your help,21
21,2206021211.0,True,How long? I don’t think you should be driving late until you want me to take you?,22
22,2206021211.0,True,Can you send your location?,23
23,2206021211.0,True,Please come home after eating.,24
24,2206021211.0,True,Who is Nathan?,25
25,2206021211.0,True,Walk with Charlton?,26
26,2206021211.0,False,sorry i missed ur call,27
27,2206021211.0,True,Are you done eating? Walking in public area?,28
28,2206021211.0,True,"I’ll ask your dad, ok?",29
29,2206021211.0,True,Thank you,30
30,2206021211.0,True,It’s ok,31
31,2206021211.0,True,Did makena leave?,32
32,2206021211.0,False,yea,33
33,2206021211.0,False,still eating but yes public area,34
34,2206021211.0,False,nathan is part of the friend group,35
35,2206021211.0,False,yes,36
36,2206021211.0,False,it’s with a  group of 10+ people,37
37,2206021211.0,False,can i go to nathan’s house and walk around,38
38,2206021211.0,False,i’m not sure because it might take a while,39
39,2206021211.0,False,but it might take a while,40
40,2206021211.0,False,i am with charlton and fiends and we are going to go eat at a pho place,41
41,2206021211.0,False,what time do i need to be home,42
42,2206021211.0,False,attachments/79/952006a8-4c00-42fa-80f8-34b9ffb71698.heic,43
43,2206021211.0,False,do i put back,44
44,2206021211.0,False,oops i took out,45
45,2206021211.0,False,do i take it out of the oven,46
46,2206021211.0,False,yes,47
47,2206021211.0,False,753,48
48,2206021211.0,False,and i turn on the pot on the stove to what temperature,49
49,2206021211.0,False,i asked if it’s better for me to be there and he said yes,50
50,2206021211.0,False,we have to get next week friday at 10 for saxophone,51
51,2206021211.0,False,so i moved appointment,52
52,2206082209.0,True,Don’t you have to get home early to go see Jill?,53
53,2206082225.0,True,Hello?,54
54,2206082225.0,False,i will sent location,55
55,2206082225.0,False,i am hiking rn,56
56,2206082225.0,False,hello,57
57,2206082227.0,True,Dad said to be home by 11. Does that work?,58
58,2206082227.0,False,i think so,59
59,2206082228.0,False,with group,60
60,2206082228.0,False,can i stop  texting please,61
